,CRAN,Package,Readme,bioconductor,dependencies,dependency,development,development version,devtools,git_clone,github,install_github,install_packages,install_packages_github,installation,nb_chars,nb_lines,omegahat,r-forge,release,released version,replicat,replication,rforge,stable,stable version,to install
1937,False,microsimr,README.md,False,False,False,False,False,True,[],True,"['install_github(""andersgs/microsimr"")', 'install_github(""andersgs/microsimr"", build_vignettes = TRUE)']","['install.packages(""devtools"")']",[],False,1916,51,False,False,False,False,False,False,False,False,False,True
1938,False,myScriptsMickael,README.md,False,False,False,True,False,True,[],True,"['install_github(""mcanouil/myScriptsMickael"")']","['install.packages(""devtools"")']",[],False,308,11,False,False,False,False,False,False,False,False,False,True
1939,True,IMA2,README.md,True,False,False,True,False,True,[],True,"['install_github(""mcanouil/IMA2"")']","['install.packages(""devtools"")']",[],False,6319,170,False,False,False,False,False,False,True,False,False,True
1940,False,mbtools,README.md,False,False,False,False,False,False,[],False,[],[],[],False,98,3,False,False,False,False,False,False,False,False,False,False
1941,False,phonR,README.md,False,False,False,False,False,False,[],True,[],[],[],False,1574,12,False,False,False,False,False,False,False,False,False,False
1942,False,OhdsiStudy2,README.md,False,False,False,False,False,True,[],True,"['install_github(c(""OHDSI/SqlRender"",""OHDSI/DatabaseConnector"",""OHDSI/OhdsiStudy2""))']",[],[],False,1191,30,False,False,False,False,False,False,False,False,False,False
1943,False,pkgnet,README.md,False,False,False,False,False,False,[],False,[],[],[],False,9,1,False,False,False,False,False,False,False,False,False,False
1944,True,ggFunctions,README.md,False,False,False,True,False,True,[],True,"['install_github(""mcanouil/ggFunctions"")']","['install.packages(""devtools"")']",[],False,383,15,False,False,False,False,False,False,False,False,False,True
1945,False,diffeR,README.md,False,False,False,False,False,False,[],False,[],[],[],False,9,1,False,False,False,False,False,False,False,False,False,False
1946,False,Distance,README.md,False,False,False,True,False,False,[],False,[],[],[],False,188,5,False,False,False,False,False,False,False,False,False,False
1947,False,ODEnetwork,README.md,False,False,False,False,False,True,[],True,"['install_github(""surmann/ODEnetwork"")']",[],[],True,2851,80,False,False,False,False,False,False,False,False,False,False
1948,False,faoswsUtil,README.md,False,False,False,False,False,True,[],True,[],[],[],True,447,18,False,False,False,False,False,False,False,False,False,True
1949,False,MIC,README.md,False,False,False,False,False,False,[],False,[],[],[],False,52,2,False,False,False,False,False,False,False,False,False,False
